時間,じかん,time
現在,げんざい,present
過去,かこ,past
将来,しょうらい,one's future
将来の夢,しょうらいのゆめ,dream for the future
昼間が暖かい,ひるまがあたたかい,It's warm in the daytime
日中,にっちゅう,"daytime, during the day"
夜中,よなか,midnight
真夜中,まよなか,"middle of the night, midnight"
深夜,しんや,"middle of the night, midnight"
時期,じき,"time, period"
未来,みらい,future (usually far)
早朝,そうちょう,early morning
昼間,ひるま,daytime
平日,へいじつ,weekday
休日,きゅうじつ,"day off, holiday"
連休,れんきゅう,consecutive holidays
週末,しゅうまつ,weekend
祝日,しゅくじつ,national holiday
年末,ねんまつ,end of year
年末年始,ねんまつねんし,Year-end and New Year's holiday
月末,げつまつ,end of month
初旬,しょじゅん,first 10 days of month
上旬,じょうじゅん,first 10 days of month
中旬,ちゅうじゅん,second 10 days of the month
下旬,げじゅん,last 10 days of the month
週明け,しゅうあけ,start of the week
年中無休,ねんじゅうむきゅう,open everyday throughout the year
ゴルデンウィーク,ごるでんううぃーく,Golden Week
お盆休み,おぼんやすみ,Bon Holiday
お宅,おたく,house (formal)
家,いえ,house
家族,かぞく,family
親,おや,parent
両親,りょうしん,parents
父親,ちちおや,father
母親,ははおや,mother
叔父(おじ),おじ,uncle (younger than parents')
伯父(おじ),おじ,uncle (older than parents')
叔母(おば),おば,aunt (younger than parents')
伯母(おば),おば,aunt (older than parents')
親類,しんるい,relatives
親戚,しんせき,relatives
息子,むすこ,son
娘,むすめ,daughter
嫁,よめ,bride
甥,おい,nephew
姪,めい,niece
妹,いもうと,younger sister
弟,おとうと,younger brother
兄,あに,older brother
姉,あね,older sister
孫,まご,grandson
祖父,そふ,grandfather
祖母,そぼ,grandmother
長男,ちょうなん,first son
次男,じなん,second son
三男,さんなん,third son
長女,ちょうじょ,first daughter
次女,じじょ,second daughter
三女,さんじょ,third daughter
友人,ゆうじん,friend
上司,じょうし,boss
部下,ぶか,subordinate
知人,ちじん,acquaintance
知り合い,しりあい,acquaintance
先輩,せんぱい,one's senior
後輩,こうはい,one's junior
仲間,なかま,friend
他人,たにん,other people
うち,うち,my home
